tf	gene	motif	force
AHR	41157	0	-1.487890829105762
AR	41157	0	-1.487890829105762
ARID3A	41157	0	-1.487890829105762
ARNT	41157	1	3.1658034706506535
BRCA1	41157	0	-0.17646478205821703
CEBPA	41157	0	-0.5661789805798959
CREB1	41157	0	-1.3666278158176166
DDIT3	41157	0	-0.9660138982604345
E2F1	41157	0	-1.2555435681169989
EGR1	41157	1	3.0939647903677847
ELK1	41157	0	-0.845011199538719
ELK4	41157	0	-1.3192232520563194
EN1	41157	0	-1.0302632208620675
ESR1	41157	0	-1.1021818299867288
ESR2	41157	0	-1.1497889639696364
ETS1	41157	1	3.249825017389012
EWSR1	41157	0	-0.7948583279617715
FLI1	41157	0	-0.7940610632358911
FOXA1	41157	0	-0.9479011670810517
FOXA2	41157	0	-1.0614611726934093
FOXD3	41157	0	-1.0296450984018013
FOXF2	41157	0	-0.9070735330902273
GABPA	41157	0	-0.7115742233797341
GATA1	41157	0	-0.7842255739741888
GATA2	41157	1	3.3291543745049497
GATA3	41157	0	0.044768916492638554
HAND1	41157	0	-0.9309682243392766
HIF1A	41157	1	3.54229143585576
HLF	41157	0	-1.187499215286452
HNF4A	41157	0	-1.1188093012187763
HOXA5	41157	0	-1.1613095959550948
IRF1	41157	0	-1.0868569157148316
IRF2	41157	0	-1.0435032215346702
JUN	41157	0	0.03448931073831414
KLF4	41157	0	-0.9307622152442142
MAFB	41157	0	-0.9750033394147721
MAFG	41157	1	3.11989444776384
MAX	41157	0	-1.1313914086128896
MEF2A	41157	0	-1.004680408395469
MYB	41157	0	-0.5974693377894754
MYC	41157	0	-0.8243555025590988
MYCN	41157	0	-0.9710564261087191
NFATC2	41157	0	0.16555503768376253
NFE2L1	41157	1	3.157909411082482
NFE2L2	41157	0	-0.8479906442679043
NFIC	41157	1	3.1897162201346654
NFIL3	41157	0	-1.16787245647511
NFKB1	41157	0	-1.1453406996925444
NFYA	41157	1	3.1172930395322087
NKX2-5	41157	0	-0.22241103321217665
NKX3-1	41157	0	-0.33757581419099125
NR1H2	41157	0	-1.125732127388068
NR2E3	41157	1	2.980913302605142
NR2F1	41157	0	-0.9532307857224835
NR3C1	41157	0	-0.879846076002875
NR4A2	41157	0	-0.7709095865323944
PAX5	41157	1	2.7162049104330226
PAX6	41157	0	-0.8680760156754828
PBX1	41157	0	-1.2697996623030392
POU5F1	41157	0	-0.9305687293549152
PPARG	41157	0	-0.9676836539533435
PRRX2	41157	0	-0.34144430187174624
REL	41157	0	-0.9452819133924917
RELA	41157	0	-1.198520990432435
RORA	41157	0	-1.0705070926854539
RUNX1	41157	0	-0.9450142499212841
RXRA	41157	0	-1.0200559951273913
SOX10	41157	1	3.0211660651532304
SOX2	41157	0	-1.017385533234713
SOX5	41157	0	-0.012310214380991254
SP1	41157	1	2.6257983227380177
SPI1	41157	1	3.114133563477925
SPIB	41157	1	3.124416027669957
SRF	41157	0	-1.0505374010438753
SRY	41157	0	-1.1231924008597587
STAT1	41157	0	-1.063985659502712
STAT3	41157	0	-0.8568795306917918
TAL1	41157	0	-0.9490807038176322
TBP	41157	0	-0.9365573896074886
TCF3	41157	0	-1.0085647466958176
TEAD1	41157	0	-1.1513807734750936
TFAP2A	41157	1	2.9206464935257737
TLX1	41157	0	-0.6640510553442591
TP53	41157	0	-0.556545440339168
USF1	41157	0	-0.4492138135512127
VDR	41157	0	-0.9659411584535745
YY1	41157	0	-0.39179580720629015
AHR	AAK1	0	-1.4890125493774693
AR	AAK1	0	-1.4890125493774695
ARID3A	AAK1	0	-1.4890125493774682
ARNT	AAK1	1	3.3793211029902874
BRCA1	AAK1	1	3.359458608582786
CEBPA	AAK1	0	-0.6938628556588253
CREB1	AAK1	0	-0.6945710769610824
DDIT3	AAK1	0	-0.9410782121698859
E2F1	AAK1	0	-0.8201547464492026
EGR1	AAK1	0	-0.6055688368235119
ELK1	AAK1	0	-0.8837114592069103
ELK4	AAK1	0	-1.1209673537572145
EN1	AAK1	0	-1.0944995990332638
ESR1	AAK1	0	-0.8726973974391476
ESR2	AAK1	0	-0.9325585626623079
ETS1	AAK1	1	3.4975217223023165
EWSR1	AAK1	0	-1.0232001789029348
FLI1	AAK1	0	-1.0270187686470371
FOXA1	AAK1	0	-0.9847271457147517
FOXA2	AAK1	0	-1.0705091253370675
FOXD3	AAK1	0	-1.0926998912911348
FOXF2	AAK1	0	-0.9726542618252285
GABPA	AAK1	1	2.952267106880158
GATA1	AAK1	0	-0.9105811615295393
GATA2	AAK1	1	3.562277715462954
GATA3	AAK1	0	0.5434862512598224
HAND1	AAK1	0	-0.9913970560871658
HIF1A	AAK1	0	-0.6391339718061474
HLF	AAK1	0	-0.9640456321435054
HNF4A	AAK1	0	-1.1866562879245264
HOXA5	AAK1	0	-0.8400825786081338
