tf	gene	motif	force
AHR	41157	0	-1.3505576946380347
AR	41157	0	-1.3505576946380347
ARID3A	41157	0	-1.3505576946380347
ARNT	41157	1	3.0175214928922287
BRCA1	41157	0	-0.27913593467323505
CEBPA	41157	0	-0.49322454233400104
CREB1	41157	0	-1.1326706849331158
DDIT3	41157	0	-1.0106861407672398
E2F1	41157	0	-0.669132525824616
EGR1	41157	1	3.0963586707161346
ELK1	41157	0	-0.7238880905207825
ELK4	41157	0	-0.7934463923113494
EN1	41157	0	-1.0129628602668288
ESR1	41157	0	-1.0166168112339653
ESR2	41157	0	-0.976122571785679
ETS1	41157	1	2.8562080462807264
EWSR1	41157	0	-0.920450436603124
FLI1	41157	0	-0.9251307720878403
FOXA1	41157	0	-0.9246760382056441
FOXA2	41157	0	-0.9809648882468287
FOXD3	41157	0	-1.067111663029237
FOXF2	41157	0	-0.7356195507610545
GABPA	41157	0	-0.5355636697995212
GATA1	41157	0	-0.8889450736262444
GATA2	41157	1	2.9251921483871195
GATA3	41157	0	-0.5128970323965405
HAND1	41157	0	-0.6800783438894802
HIF1A	41157	1	3.916675545657876
HLF	41157	0	-1.0856616991915562
HNF4A	41157	0	-0.7813758957196724
HOXA5	41157	0	-0.8699083986966928
IRF1	41157	0	-1.0856420379268124
IRF2	41157	0	-0.957217351751296
JUN	41157	0	-0.04862856736388137
KLF4	41157	0	-0.5496067183472748
MAFB	41157	0	-0.6492683463439125
MAFG	41157	1	2.7975549259005352
MAX	41157	0	-1.002315246941707
MEF2A	41157	0	-1.005832542387873
MYB	41157	0	-0.7555167264451952
MYC	41157	0	-0.8663666845059709
MYCN	41157	0	-0.9017923167277624
NFATC2	41157	0	-0.3134574144851942
NFE2L1	41157	1	2.833878477170535
NFE2L2	41157	0	-0.8376390854487499
NFIC	41157	1	2.896046305224468
NFIL3	41157	0	-0.915274066335302
NFKB1	41157	0	-0.9702714622306925
NFYA	41157	1	3.161037800070353
NKX2-5	41157	0	-0.518756981034841
NKX3-1	41157	0	-0.6228906104015648
NR1H2	41157	0	-0.9704871189901189
NR2E3	41157	1	2.7262010489036537
NR2F1	41157	0	-0.7506493611534004
NR3C1	41157	0	-0.8360721815613071
NR4A2	41157	0	-0.6528677711027208
PAX5	41157	1	3.1765505226731374
PAX6	41157	0	-0.8505638203762346
PBX1	41157	0	-1.0069593462703434
POU5F1	41157	0	-0.7319673794808416
PPARG	41157	0	-0.7229235008038325
PRRX2	41157	0	-0.7523235182834498
REL	41157	0	-0.7733215898656927
RELA	41157	0	-0.9249291477451698
RORA	41157	0	-0.804866703508757
RUNX1	41157	0	-0.6546575527383032
RXRA	41157	0	-0.9216323161835768
SOX10	41157	1	3.0271550957085194
SOX2	41157	0	-0.8258437345547139
SOX5	41157	0	-0.15923511535639734
SP1	41157	1	3.093890609063832
SPI1	41157	1	3.022205671146791
SPIB	41157	1	2.73189778001883
SRF	41157	0	-1.004914490444775
SRY	41157	0	-0.9572411005208703
STAT1	41157	0	-0.9900061206191976
STAT3	41157	0	-0.7541376795500114
TAL1	41157	0	-0.8041646160288651
TBP	41157	0	-0.8239718051054432
TCF3	41157	0	-0.9438235666446831
TEAD1	41157	0	-0.9819972554696216
TFAP2A	41157	1	2.995029456245582
TLX1	41157	0	-0.7030906118744326
TP53	41157	0	-0.4514789265169294
USF1	41157	0	-0.5983616580405795
VDR	41157	0	-0.9648826610466783
YY1	41157	0	-0.6928494608391031
AHR	AAK1	0	-1.5363336995048122
AR	AAK1	0	-1.5363336995048122
ARID3A	AAK1	0	-1.5363336995048122
ARNT	AAK1	1	3.6000032567333164
BRCA1	AAK1	1	3.20601189636141
CEBPA	AAK1	0	-0.837971182798928
CREB1	AAK1	0	-0.7618903919380832
DDIT3	AAK1	0	-1.092250159189848
E2F1	AAK1	0	-0.8307123312841767
EGR1	AAK1	0	-0.5995914581523885
ELK1	AAK1	0	-0.8139785523594318
ELK4	AAK1	0	-0.9420953125851976
EN1	AAK1	0	-1.063375742555139
ESR1	AAK1	0	-1.0601672366386483
ESR2	AAK1	0	-1.0352016822091248
ETS1	AAK1	1	3.68841742478673
EWSR1	AAK1	0	-1.0136925246657396
FLI1	AAK1	0	-1.0122795557350885
FOXA1	AAK1	0	-0.9819816570247024
FOXA2	AAK1	0	-1.0826549195966477
FOXD3	AAK1	0	-1.1369802349650513
FOXF2	AAK1	0	-1.1213094424510586
GABPA	AAK1	1	3.1495457188590663
GATA1	AAK1	0	-0.9852152547412372
GATA2	AAK1	1	3.7162285371879187
GATA3	AAK1	0	0.177872751040766
HAND1	AAK1	0	-1.1138992349432788
HIF1A	AAK1	0	-0.8121322969988025
HLF	AAK1	0	-1.0053697287781627
HNF4A	AAK1	0	-1.030824865013567
HOXA5	AAK1	0	-0.981506866396953
IRF1	AAK1	0	-1.068703619128356
IRF2	AAK1	0	-1.017268815329683
JUN	AAK1	0	0.05897753389293796
KLF4	AAK1	0	-1.0996184564078206
MAFB	AAK1	0	-0.8892613713119817
MAFG	AAK1	0	-0.045412702040408905
MAX	AAK1	0	-1.0775067100282785
MEF2A	AAK1	0	-1.0676505353555286
MYB	AAK1	0	-1.044386574692064
MYC	AAK1	0	-0.872770820383426
MYCN	AAK1	0	-1.0232734546906823
NFATC2	AAK1	1	3.5103758057354586
NFE2L1	AAK1	0	-0.02353608488648742
NFE2L2	AAK1	0	-0.9836501552056431
NFIC	AAK1	1	3.694641991933323
NFIL3	AAK1	0	-1.0667410339377463
NFKB1	AAK1	0	-0.9007699284460893
NFYA	AAK1	0	-0.8572758562021359
NKX2-5	AAK1	0	-0.24613614726915983
NKX3-1	AAK1	0	-0.4256006941080418
NR1H2	AAK1	0	-0.9593084785545504
NR2E3	AAK1	1	3.325948469697459
NR2F1	AAK1	0	-0.9911430906643418
NR3C1	AAK1	0	-0.9514343912348393
NR4A2	AAK1	0	-0.7980272780236061
PAX5	AAK1	0	-0.7560061793057093
PAX6	AAK1	0	-1.105220651136223
PBX1	AAK1	0	-1.0215043329217517
POU5F1	AAK1	0	-1.2164466550319004
PPARG	AAK1	0	-0.8371007348927149
PRRX2	AAK1	1	3.6093950874076453
REL	AAK1	0	-0.9883340084173245
RELA	AAK1	0	-1.1620694211290405
RORA	AAK1	0	-0.9272115385112527
RUNX1	AAK1	0	-1.0123991020050065
RXRA	AAK1	0	-1.1732499040421347
SOX10	AAK1	0	-0.3379489715827556
SOX2	AAK1	0	-1.1296168666609059
SOX5	AAK1	0	0.018997923625810497
SP1	AAK1	0	-0.20645408971010182
SPI1	AAK1	1	3.7066493910430687
SPIB	AAK1	1	3.6838684010257476
SRF	AAK1	0	-1.1664015922697821
SRY	AAK1	0	-1.0563902231534994
STAT1	AAK1	0	-1.058682447278716
STAT3	AAK1	0	-0.9444961482068612
TAL1	AAK1	0	-1.0849442059079426
TBP	AAK1	0	-1.0363663402267471
TCF3	AAK1	0	-1.087128487599892
TEAD1	AAK1	0	-1.1113206544168823
TFAP2A	AAK1	0	-0.6752884444516564
TLX1	AAK1	0	-0.806631698527751
TP53	AAK1	0	-1.0788656862218728
USF1	AAK1	0	-0.6441518134399008
VDR	AAK1	0	-1.1309508353461215
YY1	AAK1	1	3.700418022342065
AHR	ABCA17P	0	-1.255485968664004
AR	ABCA17P	0	-1.255485968664004
ARID3A	ABCA17P	0	-1.255485968664004
ARNT	ABCA17P	1	3.541580394051822
BRCA1	ABCA17P	1	3.2904496996618993
CEBPA	ABCA17P	0	-0.5951039198420557
CREB1	ABCA17P	0	-0.5334021259405692
DDIT3	ABCA17P	0	-0.6901924191654158
E2F1	ABCA17P	0	-0.6140365162748338
EGR1	ABCA17P	0	-0.32050160295306507
ELK1	ABCA17P	0	-0.7500647519214838
ELK4	ABCA17P	0	-0.7048921060927104
EN1	ABCA17P	0	-0.7177349510840337
ESR1	ABCA17P	0	-0.5085482559630193
ESR2	ABCA17P	0	-0.7039507270866375
ETS1	ABCA17P	1	3.4246435136394195
EWSR1	ABCA17P	0	-0.8227975360323196
FLI1	ABCA17P	0	-0.8251573099269801
FOXA1	ABCA17P	0	-0.8010452604339695
FOXA2	ABCA17P	0	-0.8399595598549748
FOXD3	ABCA17P	0	-0.8395209759745235
FOXF2	ABCA17P	0	-0.9616726215796101
GABPA	ABCA17P	0	-0.4689488052485794
GATA1	ABCA17P	0	-0.9161319821531425
GATA2	ABCA17P	1	3.3546190979984924
GATA3	ABCA17P	0	-0.30766960711647906
HAND1	ABCA17P	0	-0.8990261132674857
HIF1A	ABCA17P	0	-0.31490280267265314
HLF	ABCA17P	0	-0.4394040724983005
HNF4A	ABCA17P	0	-0.9376396055455667
HOXA5	ABCA17P	0	-0.929839160447677
IRF1	ABCA17P	0	-0.8787278405939307
IRF2	ABCA17P	0	-0.8545482200125248
JUN	ABCA17P	1	3.5221687624565035
KLF4	ABCA17P	0	-0.7333676530766222
MAFB	ABCA17P	0	-0.5399622063634093
MAFG	ABCA17P	0	-0.41091446174542073
MAX	ABCA17P	0	-0.6438995891407033
MEF2A	ABCA17P	0	-0.8520569396534444
