tf	gene	motif	force
AHR	41157	1	2.865784305238444
AR	41157	0	-0.9105359471038985
ARID3A	41157	0	-0.692486769445841
ARNT	41157	1	2.899275892537866
BRCA1	41157	0	-0.32763903733105637
CEBPA	41157	0	-0.42829343810865583
CREB1	41157	0	-0.9174719364024615
DDIT3	41157	0	-0.8426044573026592
E2F1	41157	0	-0.7581989990261565
EGR1	41157	1	2.8943255087368547
ELK1	41157	0	-0.7911249499029432
ELK4	41157	0	-1.0087052030218817
EN1	41157	0	-0.9902732301131756
ESR1	41157	0	-0.719962161388896
ESR2	41157	0	-0.6913256837921096
ETS1	41157	1	2.609560452793702
EWSR1	41157	0	-0.8360312433343301
FLI1	41157	0	-0.8354363772697344
FOXA1	41157	0	-0.8561773057960403
FOXA2	41157	0	-0.9156369277843053
FOXD3	41157	0	-0.9440447992640727
FOXF2	41157	0	-0.776893130278814
GABPA	41157	0	-0.5607348647049734
GATA1	41157	0	-0.7081687816894675
GATA2	41157	1	2.583181257198182
GATA3	41157	0	-0.6136542024163598
HAND1	41157	0	-0.8759136954650696
HIF1A	41157	1	4.020277444031105
HLF	41157	0	-1.0040275942172836
HNF4A	41157	0	-0.9403160587683853
HOXA5	41157	0	-0.8177744196338602
IRF1	41157	0	-0.9673066489253649
IRF2	41157	0	-0.8988786876839725
JUN	41157	0	-0.11083283935534374
KLF4	41157	0	-0.6985559445762128
MAFB	41157	0	-0.757579661223025
MAFG	41157	1	2.566306692608111
MAX	41157	0	-0.9725353539735618
MEF2A	41157	0	-0.9501242489741857
MYB	41157	0	-0.6554545015905197
MYC	41157	0	-0.824921128074751
MYCN	41157	0	-0.8147814078621809
NFATC2	41157	0	-0.3698480491727851
NFE2L1	41157	1	2.5960359393837034
NFE2L2	41157	0	-0.7979492870004148
NFIC	41157	1	2.542684576641933
NFIL3	41157	0	-0.8360782527877375
NFKB1	41157	0	-0.891483952333123
NFYA	41157	1	3.2109385493703515
NKX2-5	41157	0	-0.6194969001608552
NKX3-1	41157	0	-0.6463736051857613
NR1H2	41157	0	-0.9126422715921384
NR2E3	41157	1	2.415971667962227
NR2F1	41157	0	-0.8684691117731131
NR3C1	41157	0	-0.7571599862595579
NR4A2	41157	0	-0.8083365988773883
PAX5	41157	1	2.9694770055042112
PAX6	41157	0	-0.5647097712946336
PBX1	41157	0	-0.9323550477737457
POU5F1	41157	0	-0.847684595653701
PPARG	41157	0	-0.8495765714061643
PRRX2	41157	0	-0.9552325183133895
REL	41157	0	-0.8229560077034046
RELA	41157	0	-0.8453196305562497
RORA	41157	0	-0.9306911338789392
RUNX1	41157	0	-0.7386987911926123
RXRA	41157	0	-1.0442853903564853
SOX10	41157	1	2.362886049031979
SOX2	41157	0	-0.8196003023506538
SOX5	41157	0	-0.6165088876034982
SP1	41157	1	2.8610288639814683
SPI1	41157	1	2.5862372856167823
SPIB	41157	1	2.4863312709514522
SRF	41157	0	-0.9773550520149705
SRY	41157	0	-0.8563838200722586
STAT1	41157	0	-0.9608152606058925
STAT3	41157	0	-0.7495980617878139
TAL1	41157	0	-0.7602022700266067
TBP	41157	0	-0.8097371086575156
TCF3	41157	0	-0.89738987501637
TEAD1	41157	0	-0.9507518573241867
TFAP2A	41157	1	2.895424191308632
TLX1	41157	0	-0.6841921540602691
TP53	41157	0	-0.4926244283394586
USF1	41157	0	-0.6636504988171744
VDR	41157	0	-0.9394955765934421
YY1	41157	0	-0.8932749224808412
AHR	AAK1	1	2.9158120045879223
